name, description
Автономное Учреждение области N "Управление государственной экспертизы в строительстве по области N",
Администрация муниципального образования города N,
Акционерное общество «Центральная диспетчерская служба области N»,
АО "Корпорация развития области N",
Военный комиссариат области N,
Главное управление государственной службы и кадров,
Государственная жилищная инспекция области N,
Государственное автономное учреждение области N "Центр информационных технологий",
Государственное бюджетное учреждение области N "Многофункциональный центр предоставления государственных и, муниципальных услуг"
Государственное казенное учреждение "Государственный архив области N",
Инспекция области N по государственной охране объектов культурного наследия,
Инспекция области N по государственному архитектурно-строительному надзору,
Инспекция области N по государственному надзору за техническим состоянием самоходных машин и других видов техники,
Комитет ветеринарии области N,
Комитет по делам записи актов гражданского состояния и обеспечению деятельности мировых судей в области N,
Комитет области N по печати и массовым коммуникациям,
Комитет области N по предпринимательству и потребительскому рынку,
Комитет области N по развитию туризма,
Комитет области N по тарифам,
Министерство внутренней политики и развития местного самоуправления в области N,
Министерство жилищно-коммунального хозяйства области N,
Министерство здравоохранения области N,
Министерство имущественных и земельных отношений области N,
Министерство культуры области N,
Министерство молодежной политики области N,
Министерство образования области N,
Министерство по контролю и профилактике коррупционных нарушений в области N,
Министерство природных ресурсов и экологии области N,
Министерство промышленности и торговли области N,
Министерство сельского хозяйства области N,
Министерство спорта области N,
Министерство строительства области N,
Министерство транспорта и дорожного хозяйства области N,
Министерство труда и социальной защиты области N,
Министерство финансов области N,
Министерство экономического развития области N,
Общество с ограниченной ответственностью "Автовокзалы и Автостанции области N",
Прокуратура области N,
Специализированное государственное учреждение при правительстве области N "Фонд имущества области N",
Управление Министерства внутренних дел Российской Федерации по области N,
Управление по делопроизводству и работе с обращениями граждан,
Управление протокола аппарата правительства области N,
